"Kaygi" "Korku" "Ozyet" "Ilgi" "Davranis" "Basari"
"99" 0.79 2.6645 -0.18 -1.5329 -1.0226 3.4
"100" 1.53 0.64 -0.18 0.1775 4.4249 3.4
"101" 0.32 -0.4364 -0.63 -1.334 -0.0721 3.5
"102" 1.02 0.1524 -0.77 -1.5329 1.3516 3.8
"103" 1.02 1.5828 -0.02 -0.2514 2.2022 3
"104" 1.02 0.64 0.15 -1.5329 0.811 4
"105" 1.26 1.2219 0.54 0.1775 2.5276 3.6
"106" 0.79 0.3889 -0.63 -0.2514 1.4702 3.1
"107" -1 2.0328 -0.48 0.6584 -2.1402 2.8
"108" -0.73 0.3889 1.07 0.6584 1.5866 4.7
"109" 0.79 0.3889 0.54 0.6584 -0.4567 3.2
"110" 1.53 0.1524 -1.36 1.4565 0.811 3
"111" -0.73 -0.53 0.54 0.9484 0.811 4
"112" 0.32 -0.767 -3.75 1.4565 0.9618 3.4
"113" -2.37 -2.4443 -1.86 -0.3463 -0.6141 3
"114" 0.06 0.3889 -1.51 -1.5329 -0.0721 4.5
"115" 0.32 1.5828 -0.63 0.1775 2.0662 3.2
"116" 0.79 0.64 -0.48 1.4565 1.7024 3
"117" 0.06 -0.076 -0.48 0.6584 0.6426 4.4
"118" -0.47 -2.5995 0.54 1.4565 2.0662 4.2
"119" -0.47 0.3889 -0.63 -1.4365 0.811 4.5
"120" 0.79 -0.53 -0.48 0.1775 1.9398 3.3
"121" 1.02 2.6645 -0.48 1.4565 1.0998 4.4
"122" 0.06 -0.076 -0.33 0.1775 0.6426 4.7
"123" 2.42 2.6645 -0.02 1.4565 1.3516 3.6
"124" 0.32 0.64 0.15 0.1775 0.6426 4.3
"125" 2.55 1.5828 -1.51 -1.3697 0.4486 3.6
"126" 1.26 0.9139 0.78 1.4565 1.9398 5.3
"127" -0.47 1.2219 -1.86 -1.4741 -2.1402 4.7
"128" 0.56 1.2219 -0.02 0.1775 0.6426 4
"129" 0.32 1.5828 -0.18 -1.5329 1.5866 3.8
"130" 0.79 -0.076 -0.48 1.4565 1.5256 4.6
"131" 0.32 0.9139 -0.33 0.1775 0.2171 3.7
"132" -0.73 -0.076 1.07 1.4565 1.5866 3.9
"133" 1.53 0.64 1.47 0.1775 0.811 3.3
"134" 0.32 0.1524 0.54 -0.7332 0.811 3
"135" 1.02 1.5828 -0.18 -1.5329 1.0998 3.2
"136" 0.56 0.64 -0.77 0.1775 0.4486 3.7
"137" 0.06 0.3889 -0.63 -1.5329 1.0998 3.4
"138" 0.32 -0.3017 -0.48 0.5041 0.811 3.4
