"Kaygi" "Korku" "Ozyet" "Ilgi" "Davranis" "Basari"
"431" 0.56 -1.0202 0.54 1.4565 0.6426 3
"432" 0.79 -0.3017 -0.18 -0.2514 1.7024 3
"433" 2.55 3.9067 2.27 1.4565 4.4249 3.8
"434" 1.26 1.5828 0.78 0.1775 2.5276 4.2
"435" 2.55 1.5828 -0.33 -0.7332 0.6426 3.4
"436" -1.3 -0.53 0.34 0.9794 1.4702 4.3
"437" 1.02 -0.53 -0.63 -1.5329 0.6426 3.8
"438" 1.02 1.2219 1.47 0.6584 -0.0721 3.7
"439" 1.53 0.9139 -0.02 1.4565 -0.0721 3.6
"440" 0.79 -0.3017 -0.48 -1.5329 1.3516 3.3
"441" 0.06 -0.53 -0.48 1.4565 0.2171 3.8
"442" 2.55 -0.3017 -0.77 -1.5329 -1.0226 4
"443" 1.26 0.64 0.15 -0.2514 -0.0721 4.1
"444" -0.47 -0.076 -0.18 1.4565 1.4702 5.9
"445" 0.56 0.3889 2.27 0.1775 1.0998 6.2
"446" -0.73 -0.076 0.78 -0.2514 1.0998 5.8
"447" 0.79 -0.3017 0.78 1.4565 -2.1402 5.6
"448" -0.2 0.1524 -0.18 -0.2514 -0.0721 6.4
"449" -1.3 -0.53 0.78 1.4565 -0.0721 5.9
"450" -0.73 -0.767 0.54 -0.2514 0.811 6.1
"451" 0.06 -0.3017 1.07 -0.2514 0.811 6.2
"452" -0.2 -0.1735 0.78 1.4565 1.0998 6.5
"453" 2.55 0.9139 0.54 -1.3074 -0.4567 5.5
"454" -0.2 0.64 1.07 1.4565 1.0998 6.3
"455" 0.79 1.5828 -0.77 0.1775 0.811 3.9
"456" 0.56 0.3889 -0.63 1.4565 -0.4567 4.2
"457" 0.32 0.64 -0.18 0.1775 0.6426 3.8
"458" 0.32 0.3889 0.54 1.4565 0.811 4.3
"459" 1.53 0.1524 0.34 0.6584 1.2288 3.8
"460" 0.56 0.1524 -0.77 -0.2514 -1.0226 4.1
"461" 1.53 -0.076 0.54 1.4565 1.4702 4.6
"462" 0.32 -0.076 -0.7 -1.3753 0.4486 3.6
"463" -0.2 -1.2999 -0.63 0.1775 -0.0721 5
"464" 1.02 0.1524 -0.77 -1.3074 -0.0721 5.1
"465" -1 0.9139 -0.18 1.4565 1.0998 4.7
"466" 0.32 0.1524 -0.02 0.6584 0.811 4.3
"467" -0.2 -0.076 -0.02 0.6584 0.811 5
"468" -0.47 -0.767 0.15 -0.7332 0.9618 3.9
"469" -0.2 0.64 -0.48 1.4565 0.2171 4.6
"470" 0.79 0.9139 -0.77 -1.5329 0.811 3.9
"471" -0.73 0.9139 -0.33 0.1775 1.5866 4.5
"472" 0.32 -1.6239 -0.63 1.2691 0.4486 4.5
"473" -0.47 1.2219 0.34 0.6584 0.9618 4.7
"474" 0.06 -0.767 -0.33 1.4565 0.9618 2.9
"475" 0.79 1.2219 -1.21 -1.5329 0.6426 3.8
"476" 0.56 -0.076 -0.33 1.4565 0.6426 4.3
"477" 0.32 -0.53 -0.18 0.1775 0.4486 5.1
"478" -0.47 0.64 -0.02 -1.5329 0.9618 5.1
"479" 0.06 1.2219 -0.92 -1.5329 -1.0226 5.1
"480" -0.73 0.1524 0.34 0.6584 0.4486 4.4
"481" 1.02 2.0328 1.47 -0.7332 2.2022 3.8
"482" 0.79 0.1524 0.34 1.4565 -0.0721 4.7
"483" -0.2 -0.767 -0.02 -0.2514 -0.0721 4.9
"484" -1.68 0.1524 0.34 1.4565 1.0998 4
"485" 1.26 0.64 -1.21 -0.7332 -1.0226 4.7
"486" 0.79 0.64 -0.18 -1.5329 1.2288 5.1
"487" 1.26 0.3889 -2.57 -1.5329 -2.1402 4.8
"488" 0.32 2.0328 -1.36 -0.2514 0.6426 4.2
"489" 0.06 -0.3017 2.27 1.4565 1.4702 4.7
"490" -1 0.3889 1.07 0.1775 0.4486 6.1
"491" -0.2 0.64 -0.92 -1.5329 -0.4567 5
"492" 1.53 -0.3017 -1.21 -1.5329 -0.4567 5
"493" -0.47 -1.2999 1.47 1.4565 0.4486 6.2
"494" -0.53 1.5828 -0.02 1.4565 0.9618 5.1
"495" 2.55 2.0328 1.07 0.1775 -2.1402 5.5
"496" -0.2 -0.53 2.27 0.6584 0.6426 5.8
"497" -0.47 0.1524 -0.02 1.4565 1.2288 6.3
"498" 0.32 -2.0269 -0.18 -0.2514 0.811 5.8
"499" 2.55 0.64 -0.48 0.1775 0.2171 5.3
"500" -0.73 -1.0202 0.15 -0.2514 1.0998 5.9
"501" -1 0.3889 1.47 -0.2514 0.6426 5.4
"502" 0.56 -2.0269 1.07 1.4565 0.6426 5.2
"503" 0.79 1.2219 0.34 -0.2514 2.0662 6.1
"504" 0.06 0.9139 -0.18 0.1775 0.9618 3.7
"505" 0.56 1.5828 0.54 -1.5329 0.2171 4.2
"506" 1.02 1.2219 -0.77 -1.3697 1.0998 3.7
"507" 0.06 -0.076 -1.06 0.5739 1.3516 3.6
"508" 0.56 0.3889 -0.33 1.4565 2.0662 3.5
"509" 1.26 -0.076 -0.33 -0.2514 0.9618 4.5
"510" 1.26 0.64 0.34 1.4565 0.2171 3.8
"511" 0.79 0.3889 -0.33 0.6584 0.4486 4.4
"512" 0.06 -0.076 -0.48 0.1775 0.2171 5
"513" 0.79 -0.3017 -0.63 0.6584 0.4486 4.5
"514" 0.56 -0.3583 -1.68 -1.5329 1.0998 3.8
"515" -0.2 0.3889 1.07 -0.1091 -0.0721 5.8
"516" -0.2 -1.0202 -0.33 -0.7332 1.5866 4.1
"517" 0.06 1.2219 -0.48 -0.7332 0.2171 4.8
"518" 0.06 0.3889 -0.18 -0.7332 0.811 3.5
"519" 0.79 -0.3017 -1.86 -1.5329 -2.1402 4.2
"520" 0.56 0.64 -0.63 0.1775 0.811 5
"521" 1.26 0.64 -1.21 -1.5329 0.2171 3.8
"522" 0.32 -0.076 -0.02 1.4565 0.4486 4
"523" -0.2 0.1524 -0.02 0.1775 1.2288 4.1
"524" 0.06 0.64 0.15 0.1775 1.5866 4.4
"525" 0.11 1.2219 -0.63 1.4565 -1.0226 3.9
"526" 0.06 -0.076 2.27 1.4565 1.8317 3.8
"527" 1.89 0.3889 0.54 -0.2514 0.4486 4.3
"528" 1.02 0.9139 -0.48 0.1775 1.9398 2.9
"529" 0.79 -0.076 -0.48 0.1775 0.6426 5.2
"530" -0.73 -0.3017 0.78 0.1775 0.4486 4.3
"531" 0.56 1.5828 -1.06 -0.7332 0.4486 4.2
"532" 0.32 0.1524 -0.33 0.6584 -1.0226 3.8
"533" -0.47 0.2846 1.07 -0.2514 1.3516 5.1
"534" -0.47 0.1524 -0.18 0.6584 0.4486 3.9
"535" -0.2 1.2219 -0.33 -1.334 0.2171 5.1
"536" -0.2 -0.767 0.15 -0.2514 1.7024 4
"537" 0.32 -0.076 -0.63 0.1775 0.9618 4.2
"538" 1.26 1.2219 -0.48 1.4565 -2.1402 4.7
"539" -0.2 -0.767 -0.48 0.6584 0.9618 3.6
"540" 1.02 1.2219 2.27 1.4565 1.0998 5.1
"541" 1.89 1.2219 1.07 0.6584 1.7024 3.8
"542" 1.02 1.2219 0.15 -1.5329 0.6426 4.8
"543" -0.47 0.9139 0.34 -1.5329 0.4486 4.2
"544" -0.47 0.1524 1.07 1.4565 -0.0721 6.4
"545" -1 -0.3017 1.47 1.4565 1.8194 5.8
"546" 0.06 0.3889 0.78 1.4565 0.2171 5.9
"547" 0.06 -0.3017 2.27 -0.2514 0.9618 6.7
"548" 0.06 -0.53 0.54 -0.7332 0.6426 6.7
"549" 0.06 1.2219 0.34 1.4565 0.6426 5.4
"550" -0.2 -0.076 1.07 -0.2514 0.6426 6.3
"551" -0.2 -1.2999 2.27 -0.2514 0.6426 6.1
"552" -0.2 -1.0202 0.54 -0.2514 0.4486 6.3
"553" -0.2 -0.3017 2.27 0.6584 1.2288 6.4
"554" 0.56 0.3889 2.27 -0.7332 0.2171 6
"555" 2.55 0.3889 -0.18 0.6584 0.811 4.8
"556" -0.2 1.5828 -0.48 0.1775 -1.0226 4.2
"557" -0.47 0.1524 -1.68 -1.5329 -0.4567 3.7
"558" 0.32 -0.53 -0.48 0.1775 0.811 4.5
"559" 0.32 0.64 -0.77 1.4565 0.6426 3.2
"560" -0.2 -0.53 -0.02 0.6584 1.7024 3.9
"561" -0.2 -0.767 0.78 0.6584 1.2288 4.8
"562" -0.2 -1.2999 0.54 -0.2514 1.3516 4.7
"563" 0.32 0.64 -0.18 1.4565 1.4702 3.9
"564" 0.79 0.3889 -1.06 -0.2514 0.9618 3
"565" 1.02 0.64 -0.63 0.1775 2.2022 3.9
"566" 2.55 0.64 -0.18 -1.5329 0.4486 4.3
"567" 0.32 0.9139 -0.18 0.6584 1.3516 4.2
"568" 0.56 0.9139 -0.77 0.1775 -0.0721 5.3
"569" 0.79 0.9139 -0.02 0.6584 -0.4567 4.6
"570" 0.32 -0.076 -0.18 -0.7332 0.6426 4.3
"571" 0.32 -0.3017 -0.02 -0.2514 0.811 4.4
"572" -0.2 0.1524 0.15 0.1775 1.8194 4.1
"573" 0.73 1.5828 0.78 -0.7332 1.5866 3.5
"574" 0.32 0.3889 -0.92 0.1775 0.6426 4.1
"575" 0.79 -0.3017 2.27 -0.7332 -0.4567 6
"576" -0.73 3.9067 2.27 0.6584 1.9398 6.1
"577" 0.56 1.2219 -0.18 1.4565 0.2171 5.3
"578" -0.47 -1.6239 -0.18 0.1775 0.4486 6
"579" 1.26 0.1524 1.07 -0.2514 0.2171 5.3
"580" 0.56 0.64 -0.02 0.1775 0.6426 5.7
"581" -0.73 -1.6239 1.07 -0.7332 -0.0721 6.3
"582" 0.56 -0.076 0.78 0.6088 1.2288 6.2
"583" 0.06 0.64 -0.77 -0.2514 1.4702 6.5
"584" -0.47 -0.767 -0.18 -0.2514 0.4486 5.7
"585" -0.47 -0.767 -0.18 1.4565 0.9618 6
"586" 1.73 0.1524 -1.06 -1.5329 1.3516 3.3
"587" 0.32 0.64 -0.92 -0.2514 -2.1402 4.2
"588" 2.55 2.0328 -1.06 -0.7332 0.4486 4.6
"589" 1.02 -0.3017 -0.18 -1.334 -1.0226 4.8
"590" 0.56 -0.3017 -0.63 0.6584 0.811 3.7
"591" -0.47 0.64 -1.21 -1.5329 -2.1402 3.8
"592" 0.79 0.64 0.15 0.5767 2.3531 3.2
"593" 0.06 0.3889 -0.92 0.6584 0.2171 4.2
"594" 0.56 0.3889 -0.02 -0.0387 -0.4567 4.8
"595" 0.32 0.1524 -0.33 1.4565 1.3516 5.7
"596" 1.26 0.64 0.15 1.4565 2.3531 4.6
"597" -1 1.5828 1.07 0.9484 1.3516 4.1
"598" 0.79 0.1524 -0.18 1.4565 1.4702 3.9
"599" 1.02 1.5828 -0.77 1.2499 1.2288 4
"600" 0.06 -0.076 -1.36 -1.5329 0.4486 4.5
"601" 0.32 -0.767 -0.02 -0.2514 0.9618 3.6
"602" -0.47 0.64 -0.02 0.9794 0.6426 3.4
"603" -1.3 2.0328 -0.18 1.2691 -0.0721 3.3
"604" -0.2 -0.3017 -0.33 -0.2514 0.9618 4.2
"605" -0.2 -0.076 -0.33 -1.5329 0.9618 4.2
"606" 0.79 -0.076 -0.48 0.1775 1.5866 4.6
"607" 0.79 3.9067 -0.77 0.1775 0.2171 3.8
"608" 0.79 0.64 -1.36 -1.5329 -0.0721 3.1
"609" 0.32 0.3889 2.27 1.4565 0.4486 4.1
"610" -0.73 1.2219 0.15 0.6584 -0.0721 3.5
"611" 1.89 0.64 -0.02 0.1775 -0.4567 3.6
"612" 1.53 0.9139 -0.02 0.6584 1.8194 4.1
"613" 0.79 -0.53 -0.92 -1.5329 0.9618 3.4
"614" 1.02 0.3889 -0.33 0.1775 0.9618 4.1
"615" 1.02 2.0328 -1.36 -0.7332 -0.4567 4
"616" 2.55 1.5828 1.07 1.4565 0.6426 4.4
"617" 0.56 0.3889 -0.48 -0.7332 2.5276 3.5
"618" 0.32 1.2219 -0.18 -0.7332 0.2171 4.6
"619" -0.47 0.64 -0.63 0.6584 -0.4567 4.6
"620" 1.02 3.9067 -1.21 0.1775 0.9618 3.4
"621" 0.79 0.9139 -0.33 -1.5329 -1.0226 4.2
"622" -1.68 -0.076 -0.02 -0.2514 1.3516 5.6
"623" 0.79 0.1524 0.78 -0.2514 -0.0721 4.9
"624" 0.32 1.5828 -0.77 -1.5329 0.2171 4.3
"625" 0.56 0.1524 -0.48 0.1775 1.8194 3.5
"626" -0.2 -0.767 1.47 -0.2514 0.2171 5.3
"627" 0.06 0.1524 -0.18 1.4565 0.2171 4.2
"628" -0.47 -0.3017 -0.77 -0.2514 0.6426 3.4
"629" 0.06 0.3889 -0.33 1.2499 0.811 4.6
"630" 0.06 0.1524 -0.18 1.4565 1.3516 3.7
"631" -0.2 -0.53 -0.92 0.1775 0.811 3.1
"632" 1.02 -0.3017 0.15 0.6584 0.6426 4.6
"633" 0.79 0.64 -0.18 -0.7332 0.9618 3.6
"634" 0.79 0.1524 -0.18 0.6584 0.9618 3.7
"635" 0.32 -0.3583 0.54 0.1775 1.0998 4.2
"636" -1 -0.53 2.27 0.6584 1.5866 4.7
"637" 1.53 -0.076 -1.86 -1.3074 0.9618 4
"638" 0.32 0.64 -0.02 -0.045 1.7024 4.7
"639" 1.02 0.64 -0.92 0.9484 -0.0721 4.4
"640" 2.55 1.2219 -1.68 -1.5329 -0.4567 4.2
"641" -0.47 -1.6239 1.07 -0.2514 1.0998 4.6
"642" 0.56 0.9139 0.34 1.4565 0.6426 5.2
"643" 0.56 -0.076 -0.92 0.1775 0.4486 2.9
"644" 0.56 3.9067 -3.75 -1.5329 -2.1402 3.6
"645" -0.47 3.9067 0.15 -1.5329 0.9618 3.4
"646" 0.56 -0.2352 2.27 1.4565 0.9618 4.1
"647" 0.06 0.3889 0.54 1.4006 -0.4567 3.9
"648" 0.32 0.9139 0.78 0.6584 -0.0721 4.2
"649" 1.26 3.9067 -0.92 -1.5329 -1.0226 4.2
"650" -0.47 1.5828 -0.18 0.6584 0.9618 4.2
"651" -1 -0.53 -0.48 1.4565 0.4486 4.5
"652" 1.02 0.3889 -0.02 0.1775 0.811 3.7
"653" 1.02 -0.767 -0.92 0.1775 0.9618 3.7
"654" -0.73 0.1524 0.15 -0.7332 1.4702 4.4
"655" 0.56 0.3889 0.34 -0.2514 1.5866 4.4
"656" 1.02 -0.767 0.78 0.6584 0.811 5.2
"657" -0.2 1.2219 -0.18 -1.5329 -0.4567 3.6
"658" 1.02 0.1524 0.54 1.4565 0.2171 3.9
"659" 0.79 0.64 -0.18 -0.2514 1.9398 5
"660" 0.79 0.64 -0.18 1.4565 1.9398 3.5
"661" 0.06 0.64 -0.18 1.4565 1.9398 4.5
"662" 0.06 0.1524 -0.02 0.4296 1.0998 4.5
"663" 2.55 1.5828 2.27 0.1775 4.4249 4.8
"664" 1.02 0.3889 -0.77 -0.7332 -1.0226 4
"665" 0.56 0.64 -0.63 0.1775 0.811 3.9
"666" 2.55 0.3889 -0.18 1.4565 0.4486 3.6
"667" 1.02 0.3889 -0.33 1.4565 1.5866 4.2
"668" 0.79 2.0328 -0.02 0.6584 0.8903 3.2
"669" -0.73 -1.0202 -1.36 0.6584 1.2288 2.9
"670" 1.02 -0.53 -1.06 -1.5329 0.6426 4.1
"671" 0.06 -1.0202 -0.33 0.1775 0.811 3.7
"672" 0.56 -0.076 0.54 -1.5329 0.2171 5.3
"673" 0.56 0.64 -0.48 0.4296 0.9618 3.9
"674" 1.53 -0.53 1.07 -1.5329 -0.0721 3.2
"675" -1.3 -3.7666 -0.48 0.1775 3.4609 3
"676" -0.47 -0.3017 2.27 -0.2514 0.4486 6.9
"677" -0.47 1.2219 1.47 1.4565 1.2288 5.6
"678" -0.73 -0.076 1.07 -0.2514 0.6426 6.3
"679" 0.32 -0.076 0.54 -0.2514 0.4486 5.5
"680" -0.2 -0.767 0.34 -0.7332 0.9618 6.1
"681" 0.56 0.9139 -0.18 -0.2514 -1.0226 5.7
"682" -2.37 1.2219 1.47 -0.2514 -0.0721 5.2
"683" -0.2 -0.53 1.07 -0.2514 0.811 6
"684" 0.56 -0.3017 0.78 -0.2514 -0.4567 6.4
"685" -0.73 -0.3017 2.19 0.1775 0.6426 6
"686" 0.56 1.5828 0.78 1.4565 0.811 6
"687" 0.79 0.64 -0.77 0.1775 -0.4567 3.3
"688" -0.47 -1.0202 -0.63 -0.7332 -2.1402 3.7
"689" 0.06 -0.53 0.34 -0.2514 -0.4567 4
"690" 0.32 0.64 1.07 1.4565 1.8194 4.7
"691" 0.06 0.64 -0.18 1.1091 1.9398 3.5
"692" 0.32 0.9139 -0.33 1.4565 1.0998 4.1
"693" -0.2 0.64 -0.33 0.1871 -0.362 4.1
"694" -0.47 -0.767 -0.34 0.6584 1.2288 4.1
"695" -0.47 0.1524 0.34 1.4565 1.2288 4.6
"696" 1.02 -0.076 -0.63 -0.7332 -0.0721 4.7
"697" -0.2 -1.0202 -0.18 0.6584 1.0998 4.1
"698" -0.2 0.64 0.15 0.6584 0.4486 4.8
"699" -0.2 -0.53 -0.77 0.6584 0.4486 4.5
"700" -2.37 -2.0269 2.27 1.4565 -1.0226 4.1
"701" 0.79 -0.076 -0.63 1.4565 -2.1402 4.4
"702" -0.47 0.9139 0.54 0.6584 1.3516 6
"703" 0.79 0.3889 0.15 0.6584 0.6426 4.3
"704" 0.56 0.3889 -0.02 1.4565 0.811 4.6
"705" 0.56 -0.076 -0.18 -0.2514 1.2288 4.6
"706" -0.47 -0.076 0.54 1.4565 0.6426 3.9
"707" 0.06 -0.53 -0.33 -0.7332 -0.4567 4
"708" 0.56 0.3889 -0.02 -1.5329 1.0998 5.3
"709" 0.56 0.64 -0.63 -1.5329 0.2171 3.9
"710" 1.53 0.1524 0.54 -0.7332 1.2288 4
"711" -0.2 0.9139 0.34 0.0421 0.9618 4.6
"712" 2.55 -0.3017 -0.77 -0.2514 -0.4567 4.2
"713" 0.56 0.3889 0.15 -0.7332 0.6426 4
"714" 0.79 0.9139 -0.33 -1.5329 0.9618 3.8
"715" 1.26 0.64 1.47 1.4565 -2.1402 3.8
"716" -1.68 -1.6239 1.07 -0.2514 1.0998 5
"717" 2.55 1.2219 0.54 -1.5329 0.9618 4.6
"718" 0.32 0.1524 -0.33 0.1775 1.2288 5.4
"719" 0.32 0.64 0.34 0.1775 0.6426 3.9
"720" -1 -0.3017 0.54 -0.2514 0.2171 4.9
"721" 1.26 -0.076 -0.63 -1.5329 0.9618 3.8
"722" 0.06 -0.3017 -0.33 0.1775 -0.0721 4.7
"723" 0.56 0.64 -0.63 0.1775 -0.4567 5.2
"724" 0.79 0.3889 0.54 1.4565 1.2288 5
"725" -0.47 -1.0202 1.07 1.4565 0.9618 6.5
"726" -0.47 -0.53 2.27 1.4565 1.2288 5.2
"727" -0.2 -0.767 -0.18 1.4565 0.2171 4.7
"728" -1 0.3889 -0.02 0.6584 1.2288 6.4
"729" -0.47 -0.3017 0.34 1.4565 0.9618 5.5
"730" -0.2 -0.53 0.34 1.4565 0.4486 5.9
"731" -0.2 -0.3017 -0.77 1.4565 0.4486 5.7
"732" 0.79 -0.3017 -0.02 0.1775 0.9618 5.2
"733" 1.89 0.9139 -1.2 0.1775 0.4486 5
"734" 0.79 0.64 -0.18 0.6088 -1.0226 5.6
"735" 0.32 -0.076 -0.33 1.4565 0.6426 5.3
"736" 1.26 1.5828 -0.63 -0.3495 0.4486 5.2
"737" 0.06 -3.7666 -0.02 1.4565 0.6426 5.9
"738" 0.06 -0.076 0.15 1.4565 0.2171 4.6
"739" -1.68 -1.2999 0.78 1.4565 0.6426 5.9
"740" -1.68 -0.076 0.34 0.6584 1.2288 6.6
"741" -0.47 -0.3017 1.07 1.4565 1.2288 5.2
"742" -0.47 -0.53 -0.63 1.4565 0.4486 5.3
"743" 0.79 -0.076 -0.18 1.4565 0.9618 5.6
"744" 0.79 -1.2999 0.34 -0.2514 0.6426 5.9
"745" 1.53 0.3889 -0.18 0.6584 0.9618 6.1
"746" 0.79 -0.076 -0.02 -0.2514 0.4486 5.7
"747" 1.02 0.64 -0.48 -1.5329 -2.1402 5.4
"748" -0.47 -0.3017 0.54 0.1775 1.0998 4.6
"749" 2.55 1.2219 -0.48 -0.2514 0.2171 5.3
"750" -0.2 -0.076 0.15 -0.2514 1.0998 5.1
"751" 0.06 -0.53 -0.18 -0.2514 0.9618 5.3
"752" 0.56 -0.076 -0.02 -0.2514 -0.0721 5.2
"753" -0.47 0.1524 -0.02 1.4565 0.4486 4.8
"754" -0.47 -0.3017 -0.18 1.4565 1.3516 5.8
"755" -0.73 0.64 2.27 0.1775 0.6426 6
"756" 1.02 -0.076 -0.02 -1.5329 -1.0226 5.6
"757" -0.47 -0.076 2.27 1.4565 0.9618 6.3
"758" 1.02 0.1524 -0.92 0.1775 0.4486 3.9
"759" 0.06 -2.0269 -0.48 0.9484 -0.0721 3.7
"760" -0.2 -0.076 -0.48 -0.7332 -1.0226 4.7
"761" 0.56 1.2219 -0.02 0.6584 0.6426 4
"762" -0.2 0.64 1.07 1.4565 1.4702 4
"763" 1.26 1.2219 -1.06 0.1775 1.9398 3
"764" 2.55 3.9067 1.07 1.4565 -0.0721 4.8
"765" 1.02 1.2219 -0.48 1.4565 1.0998 3.9
"766" 0.32 -0.767 0.34 0.1775 0.811 4.5
"767" 0.06 0.64 0.15 0.9794 0.9618 3.7
"768" -0.47 0.3889 -0.02 -1.5329 0.6426 4.5
"769" 1.02 0.64 -0.18 -1.334 1.0998 5.4
"770" -0.2 2.0328 0.54 0.9484 0.6426 4
"771" 1.53 -0.53 0.34 -1.5329 2.6154 3.2
"772" 0.56 0.3889 -0.48 -1.5329 1.0998 5.4
"773" 0.56 0.3889 -0.48 1.4565 1.3516 4.5
"774" -1 -0.53 0.34 1.4565 0.811 5.5
"775" 0.56 0.1524 0.78 -0.2514 -0.0721 5.1
"776" -0.2 -0.076 -0.18 0.6088 0.6426 4.9
"777" -0.47 -0.076 0.78 1.4565 0.6426 5.4
"778" 0.56 -0.076 0.78 -0.2514 0.6426 6.2
"779" -0.2 3.9067 2.27 1.4565 1.5866 5.2
"780" -0.2 -1.6239 0.34 1.4565 1.0998 6.1
"781" -1 -0.767 1.07 0.6584 0.811 5.7
"782" -0.47 0.9139 1.47 0.6584 0.9618 5
"783" 0.32 -0.076 1.07 0.1775 0.9618 4.6
"784" 1.02 -0.076 0.15 -0.2514 1.3516 5.7
"785" -0.2 0.64 1.07 1.4565 0.9618 6.5
"786" 0.56 0.64 0.34 0.1775 1.2288 4.9
"787" 0.56 0.3889 0.54 -0.2514 1.0998 4.8
"788" 0.32 0.3889 0.34 -0.2514 0.2171 5.5
"789" 0.56 0.3889 -0.48 -0.7332 -0.4567 5.5
"790" 0.32 -0.3017 -0.77 1.2691 0.4486 4.9
"791" 1.26 0.9139 0.15 0.1775 1.3516 5.7
"792" 0.06 0.1524 0.15 0.6584 -0.0721 5
"793" 0.32 -0.767 2.27 0.6584 0.9618 5.1
"794" 0.06 1.2219 1.47 0.1775 -2.1402 5.9
"795" -0.47 2.6645 0.78 -0.7332 0.6426 5.9
"796" 1.89 1.5828 0.34 1.1091 0.4486 4.7
"797" -0.2 -0.076 -0.77 1.4565 -0.0721 4.8
"798" 0.56 -0.3017 -0.02 1.4565 1.0998 5.9
"799" 1.02 0.3889 -0.02 -1.5329 -0.0721 4.9
"800" 0.56 0.1524 -0.77 -0.7332 0.2171 4.8
"801" 0.06 -0.53 -1.06 -0.2514 -0.4567 4.5
"802" 1.02 0.9139 -1.36 -1.5329 -0.4567 4.9
"803" 2.36 2.0328 -0.63 0.6584 2.2022 3.2
"804" -0.2 -0.53 -0.02 -0.2514 -1.0226 4.2
"805" -1.3 0.9139 0.34 0.6584 1.3516 4.5
"806" 0.32 1.5828 -0.33 1.4565 1.0998 4
"807" 1.26 2.0328 -2.11 -1.5329 -1.0226 4.3
"808" 1.02 1.2219 -0.18 -0.7332 0.9618 4
"809" -0.2 -0.53 -0.77 0.0421 1.4702 4.1
"810" 1.26 -0.076 -0.48 0.1775 1.0998 3.9
"811" 2.55 3.9067 -0.18 -0.7332 1.4702 2.7
"812" 1.26 -0.53 -0.18 -0.2514 0.811 3.6
"813" 2.55 3.9067 2.27 -0.7332 4.4249 4.8
"814" 0.32 -0.53 -0.48 -0.7332 -0.0721 4.4
"815" 0.79 0.64 -0.18 -0.2514 1.8194 3.8
"816" 0.56 0.64 -0.02 0.1775 1.4702 5.2
"817" 1.26 1.5828 0.34 0.6584 2.5276 3.5
"818" -0.47 -1.0202 0.15 0.1775 -0.4567 4.4
"819" 0.32 -1.0202 0.15 -0.2514 1.2288 4
"820" -1 0.1524 -0.48 -1.3074 0.2171 3.6
"821" 0.06 0.3889 0.15 -0.7332 0.6426 3.5
"822" 0.79 0.1524 -0.18 -1.5329 -0.4567 2.9
"823" 0.56 -0.3017 -1.21 0.6584 0.4486 3.8
"824" -0.47 0.1524 -0.75 0.6584 0.811 3.5
"825" -0.47 -0.3017 0.78 -0.2514 1.3516 4.7
"826" 0.79 -0.076 -0.92 0.1775 0.2171 3.4
"827" 0.79 -0.3017 0.78 1.4565 -1.0226 5.1
"828" -0.47 -1.6239 2.27 -0.2514 0.9618 5.9
"829" -0.47 0.9139 1.47 -0.2514 1.8194 6.4
"830" 0.56 -0.3017 0.15 1.4565 0.2171 4.9
"831" 0.32 2.0328 2.27 0.6584 0.811 6.2
"832" 0.79 1.5828 0.34 0.1775 0.6426 5.6
"833" 0.06 0.3889 -1.21 0.6584 1.2288 5.2
"834" 1.02 0.3889 1.47 1.4565 -0.0721 5.1
"835" -0.47 -0.53 1.07 1.4565 0.2171 5.9
"836" 0.06 -0.767 1.47 1.4565 1.2288 5.3
"837" 0.56 0.64 -0.33 0.6584 1.4702 5.6
"838" 0.32 0.1524 0.34 0.1775 0.4486 6.6
"839" 1.53 0.64 -0.48 -0.7332 0.9618 3.8
"840" 1.89 1.5828 -0.18 1.1696 2.0662 3.2
"841" -0.47 0.9139 0.34 -0.3495 0.811 4.5
"842" 0.56 0.1524 1.35 1.2691 0.9618 4.2
"843" -0.2 -0.076 2.27 0.6584 1.0998 4.9
"844" 0.79 0.9139 0.15 1.4565 0.9618 3.7
"845" -1 -1.0202 -0.02 1.4565 0.4486 4.5
"846" 0.32 0.9139 0.34 -1.5329 -2.1402 4.6
"847" 0.32 -2.0269 2.27 -0.2514 1.4702 5.3
"848" 0.79 -0.076 -0.77 -0.2514 -0.0721 3.6
"849" 1.26 2.0328 -0.63 0.1775 0.4486 4.3
"850" 1.02 -0.076 -0.48 0.1775 -0.0721 4.9
"851" -0.73 0.1524 0.78 1.4565 1.2288 5.8
"852" -0.2 -0.3017 0.34 0.1775 1.0998 5.4
"853" -0.47 -0.076 0.78 1.4565 0.9618 5.4
"854" 1.02 1.2219 -0.63 1.4565 0.6426 5.8
"855" -0.2 -0.53 0.54 1.4565 1.0998 6.2
"856" 1.26 0.1524 0.78 -0.2514 0.4486 5.3
"857" -0.73 -0.076 2.27 -1.5329 0.9618 6.3
"858" 0.32 -0.53 2.27 1.4565 0.2171 5.1
"859" 0.79 0.1524 1.47 0.1775 0.2171 5.4
"860" 0.56 0.3889 -0.18 -0.2514 0.4486 5.4
"861" -0.47 -0.3017 0.15 1.4565 0.2171 5.2
"862" -1.3 -2.0269 0.78 0.9484 0.4486 5.6
"863" 0.06 0.9139 0.34 -0.2514 -0.0721 5.4
"864" 0.06 -0.076 2.27 -1.5329 0.9618 6.2
"865" -1.3 0.9139 1.07 1.4565 0.2171 5.1
"866" 0.79 0.9139 -0.18 -0.2514 -0.4567 4.5
"867" 0.56 1.2219 0.34 -0.7332 0.2171 5.4
