Motivasyon,SinifIklm,Degerlendirme,Yonlendirme,Ogretim,Destek,cinsiyet
0.05,-0.33,0.7644,-1.5999,-0.0798,-0.09,1
1.11,-0.08,0.7644,-0.1057,-0.3204,-0.47,1
1.11,0.49,-0.2859,0.2217,0.1672,0.61,1
-1.12,-0.53,-0.2859,-0.5809,-1.0685,-1.82,1
1.59,-0.33,1.7916,0.4855,1.5697,1.68,1
0.05,-0.53,0.7644,1.945,1.5697,-0.09,1
-0.67,0.81,2.6295,1.945,2.563,0.61,2
0.8,-0.33,2.6295,1.945,2.563,1.68,2
-0.39,-0.53,-0.0092,0.7183,-0.5612,-0.66,1
0.5,-0.71,1.3625,2.3831,1.0768,0.34,2
0.8,-0.08,0.7644,-0.5809,0.1672,-0.66,2
0.8,0.2,0.7644,0.9374,1.0768,-0.09,2
-1.33,-0.71,-0.0092,0.7183,-1.0685,-2.21,2
-0.67,-0.08,0.2509,0.2217,-0.5612,-0.86,2
1.59,-1.6,0.2509,0.2217,-0.0798,-0.09,1
1.59,-0.53,1.0416,-0.5809,-0.3204,0.11,2
-0.9,-1.04,1.0416,1.3823,1.0768,-0.66,2
0.05,-0.33,0.7644,0.2217,-0.0798,-0.66,1
0.05,-1.39,0.5054,-0.5809,-0.0798,-0.66,1
-0.9,-0.33,-0.0092,0.2217,-0.5612,-0.09,2
-0.9,0.2,-0.5945,0.7183,-0.8083,-1.82,2
0.8,-1.2,-0.2859,1.1547,0.4297,-0.09,1
0.05,-0.08,-0.5945,-0.1057,0.1672,0.61,1
0.5,0.2,-0.5945,-0.1057,1.0768,1.68,1
0.05,-0.08,-0.0092,1.3823,0.1672,-0.09,1
1.59,-1.6,-0.5945,-1.5999,-1.3515,-1.28,1
0.05,1.19,0.5054,0.7183,-0.0798,-0.28,2
0.05,-0.71,1.3625,0.7183,2.563,0.34,1
1.59,-0.71,1.7916,1.3823,1.5697,0.97,1
-0.39,0.49,1.0416,0.7183,1.0768,-0.09,2
1.11,-1.04,0.7644,1.3823,0.1672,0.97,2
-0.39,-1.2,-0.5945,0.4855,-0.5612,-0.66,1
-0.39,1.19,-2.3919,-0.1057,-0.5612,1.68,2
1.59,-1.6,0.2509,-0.5809,0.4297,0.34,2
0.05,-0.08,0.7644,0.4855,-1.3515,-1.28,2
0.8,-0.33,1.7916,1.1547,0.4297,-1.53,1
